1;АВАТЕК 15 % СС;Не требуется;29;6450;2015-03-25
2;АВЕРОФАРМ;Требуется;5;5700;2018-06-01
3;АВЕРСЕКТ - 2;Требуется;22;3550;2018-09-24
4;АВЕРСЕКТ К&C;Требуется;10;1650;2016-12-21
5;АВЕРСЕКТ-2 ВК;Не требуется;26;8250;2012-08-24
6;АВЕРТЕЛЬ;Требуется;26;3300;2015-08-24
7;АВИЗИМ 1100;Требуется;15;6800;2011-09-02
8;АВИЗИМ 1200;Не требуется;24;8750;2015-01-02
9;АВИЗИМ 1300;Требуется;28;5650;2015-12-26
10;АВИЗИМ 1500;Требуется;27;2000;2018-06-19
11;АВИМУТИН ГИДРО;Не требуется;22;2800;2017-01-15
12;АГИТА 10 WG;Требуется;5;8950;2010-06-30
13;АГИФЛАЙ;Не требуется;9;8250;2019-02-07
14;АДВАНТЕЙДЖ 40;Не требуется;14;7150;2017-12-05
15;АДВАНТЕЙДЖ 80;Требуется;20;3500;2018-10-15
16;АДВАНТИКС;Требуется;7;9050;2018-03-08
17;АДВОКАТ;Не требуется;8;7850;2015-11-29
18;АЗИКАН;Требуется;12;4450;2013-01-15
19;АЗИНОКС;Требуется;7;7650;2013-03-21
20;АЗИНОКС ПЛЮС;Требуется;28;6550;2015-01-30
21;АЗИПИРИН;Не требуется;14;7200;2016-08-16
22;АЗИТРОНИТ;Требуется;30;1850;2019-03-22
23;АЗОКСИВЕТ;Требуется;25;6350;2014-01-03
24;АЙНИЛ 1%;Требуется;30;8600;2016-10-05
25;АЙНИЛ 10 %;Не требуется;17;5500;2016-05-07
26;АЙРОНБУСТЕР;Требуется;19;3450;2012-06-24
27;АЙСИДИВИТ;Требуется;8;1950;2010-05-03
28;АКАРАСАН;Требуется;5;3200;2018-12-17
29;АКАРОМЕКТИН;Требуется;20;4250;2011-06-05
30;АКВАРЭТ-КОНЦЕНТРАТ;Не требуется;16;6800;2015-10-22
31;АКВАРЭТ-ПРИМАНКА;Требуется;19;1400;2018-09-18
32;АКВИМАГ;Не требуется;17;7600;2014-08-02
33;АКРОЗОЛЬ;Не требуется;8;5450;2019-09-26
34;АЛАМИЦИН LA 300;Требуется;25;7500;2015-07-19
35;АЛАМИЦИН АЭРОЗОЛЬ;Не требуется;15;5250;2018-10-12
36;АЛЗАН;Не требуется;7;4350;2016-03-15
37;АЛИЗИН;Требуется;16;2200;2015-02-16
38;АЛЛЕРВЕТ 1%;Требуется;14;7400;2010-10-14
39;АЛЛЕРДЕРМ СПОТ-ОН;Не требуется;14;7850;2012-03-15
40;АЛЬБАЗЕН;Требуется;6;1100;2021-06-14
41;АЛЬБАЗЕН 10 %;Не требуется;14;4050;2018-10-26
42;АЛЬБАЗЕН 20 %;Требуется;30;7250;2014-07-02
43;АЛЬБАМЕЛИН;Требуется;9;8900;2017-02-24
44;АЛЬБЕН;Не требуется;22;3250;2012-03-11
45;АЛЬБЕН ГРАНУЛЫ;Не требуется;14;6350;2011-09-13
46;АЛЬБЕН С;Не требуется;5;3000;2010-03-07
47;АЛЬБЕНДАЗОЛ ГРАНУЛЯТ 10 %;Требуется;23;9500;2017-03-25
48;АЛЬБЕНДАЗОЛ СУСПЕНЗИЯ 10 %;Не требуется;5;8300;2018-11-15
49;АЛЬБЕНДАЗОЛ ТАБЛЕТКИ 18 %;Не требуется;11;5650;2021-06-23
50;АЛЬВЕСОЛ;Требуется;24;7950;2013-10-19
51;АЛЬВЕТ;Требуется;29;4800;2017-03-04
52;АЛЬВЕТ СУСПЕНЗИЯ;Не требуется;11;8700;2013-11-12
53;АЛЬГАФЕРРИН;Требуется;6;4600;2018-10-31
54;АЛЬФА ВЕТ;Не требуется;20;2350;2013-09-09
55;АЛЮМИНИУМ-СПРЕЙ;Не требуется;13;6150;2016-01-02
56;АМИДЕЛЬ-ГЕЛЬ;Не требуется;8;1750;2021-06-18
57;АМИЛОСУБТИЛИН Г3Х;Не требуется;30;8200;2017-05-27
58;АМИНОВИТАЛ;Требуется;30;6400;2021-02-28
59;АМИПОЛ–Т;Не требуется;18;8100;2014-07-11
60;АМИТ;Не требуется;27;1100;2017-02-15
61;АМИТ ФОРТЕ;Не требуется;24;8700;2019-12-31
62;АМИТАН-1;Не требуется;10;2600;2018-02-03
63;АМИТАН-2;Требуется;16;4350;2015-12-26
64;АМИТАН-3;Не требуется;10;7900;2015-06-13
65;АМОКСИКЛАВ БОЛЮСЫ;Не требуется;15;3400;2016-10-23
66;АМОКСИКЛАВ ПОРОШОК;Требуется;30;5750;2016-09-07
67;АМОКСИМАГ;Не требуется;17;1800;2019-04-26
68;АМОКСИСАН;Не требуется;8;9550;2012-06-13
69;АМОКСИЦИЛЛИН 10 % ПОРОШОК;Не требуется;11;8200;2013-09-30
70;АМОКСИЦИЛЛИН 15 %;Требуется;28;3200;2021-08-06
71;АМОКСИЦИЛЛИН 15%;Требуется;30;6550;2010-09-23
72;АМОКСИЦИЛЛИН 150;Требуется;14;3000;2021-04-13
73;АМОКСОИЛ РЕТАРД;Требуется;19;8600;2014-01-11
74;АМПРОБЕЛ;Не требуется;8;5300;2011-12-16
75;АМПРОЛИУМ 30%;Не требуется;22;3200;2016-11-15
76;АМПРОЛИУМ-25;Требуется;20;5000;2018-08-22
77;АМУРИЛ 50 %;Требуется;30;7200;2021-08-18
78;АМУС;Не требуется;14;5800;2013-07-30
79;АНАЛЬГИВЕТ;Требуется;18;6800;2019-11-23
80;АНАНДИН;Требуется;29;3250;2015-04-23
81;АНАНДИН ПЛЮС;Не требуется;23;9600;2012-10-21
82;АНЗАЦИКЛИН;Не требуется;23;1000;2017-10-11
83;АНОТЕН;Не требуется;15;5700;2011-11-13
84;АНТИ-ФЛИ СПРЕЙ;Не требуется;12;5050;2019-12-19
85;АНТИБАК 100;Не требуется;5;8600;2010-11-29
86;АНТИБАК 250;Не требуется;27;2700;2013-04-19
87;АНТИБАК 2500;Требуется;26;4850;2021-03-11
88;АНТИБАК 500;Требуется;25;5600;2010-04-26
89;АНТИГЕНЫ ЯЩУРНЫЕ;Не требуется;19;2400;2015-02-22
90;АНТИПАР;Не требуется;7;7500;2014-07-13
91;АНТИСЕДАН;Требуется;6;5100;2017-03-28
92;АНТИФЛИ КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ;Не требуется;19;2600;2012-10-30
93;АПИАСК полоски;Требуется;27;6500;2020-08-18
94;АПИАСК порошок;Не требуется;22;3300;2021-08-22
95;АПИГЕЛЬ;Не требуется;5;9600;2015-09-11
96;АПИДЕЗ;Не требуется;21;10000;2013-07-20
97;АПИЛИНОЛ;Не требуется;25;5800;2012-10-27
98;АПИМИЛ;Не требуется;13;7200;2020-03-26
99;АПИРОЙ;Требуется;21;3400;2014-06-12
