1;АВАТЕК 15 % СС;Не требуется;11;1150;2021-04-06
2;АВЕРОФАРМ;Не требуется;7;1550;2020-03-13
3;АВЕРСЕКТ - 2;Не требуется;8;8550;2013-02-16
4;АВЕРСЕКТ К&C;Не требуется;20;1850;2011-12-18
5;АВЕРСЕКТ-2 ВК;Не требуется;30;7550;2016-10-10
6;АВЕРТЕЛЬ;Не требуется;15;1500;2020-09-13
7;АВИЗИМ 1100;Не требуется;13;2550;2011-09-06
8;АВИЗИМ 1200;Требуется;20;8300;2011-10-26
9;АВИЗИМ 1300;Не требуется;12;5650;2013-04-25
10;АВИЗИМ 1500;Не требуется;16;7600;2016-08-07
11;АВИМУТИН ГИДРО;Требуется;13;2050;2013-04-05
12;АГИТА 10 WG;Не требуется;21;4000;2017-07-05
13;АГИФЛАЙ;Не требуется;16;2700;2016-04-29
14;АДВАНТЕЙДЖ 40;Не требуется;6;1200;2018-07-29
15;АДВАНТЕЙДЖ 80;Требуется;7;9850;2020-02-06
16;АДВАНТИКС;Не требуется;22;7950;2011-06-17
17;АДВОКАТ;Не требуется;13;8750;2010-09-17
18;АЗИКАН;Требуется;8;8350;2014-10-04
19;АЗИНОКС;Требуется;19;8550;2020-08-06
20;АЗИНОКС ПЛЮС;Не требуется;5;2850;2010-04-08
21;АЗИПИРИН;Требуется;15;6900;2011-01-11
22;АЗИТРОНИТ;Не требуется;15;1450;2010-06-26
23;АЗОКСИВЕТ;Требуется;28;6750;2019-04-09
24;АЙНИЛ 1%;Не требуется;6;5800;2014-06-28
25;АЙНИЛ 10 %;Требуется;21;1650;2012-08-26
26;АЙРОНБУСТЕР;Не требуется;30;5100;2015-07-26
27;АЙСИДИВИТ;Требуется;29;3550;2011-04-09
28;АКАРАСАН;Требуется;27;6150;2018-11-22
29;АКАРОМЕКТИН;Не требуется;9;3300;2014-05-27
30;АКВАРЭТ-КОНЦЕНТРАТ;Требуется;27;5350;2013-05-09
31;АКВАРЭТ-ПРИМАНКА;Требуется;26;3700;2020-04-22
32;АКВИМАГ;Не требуется;30;1150;2017-01-03
33;АКРОЗОЛЬ;Требуется;7;5950;2015-10-24
34;АЛАМИЦИН LA 300;Не требуется;25;7950;2017-05-20
35;АЛАМИЦИН АЭРОЗОЛЬ;Не требуется;24;9050;2014-10-10
36;АЛЗАН;Требуется;14;6600;2018-01-14
37;АЛИЗИН;Требуется;16;3150;2010-01-11
38;АЛЛЕРВЕТ 1%;Требуется;12;8400;2019-03-13
39;АЛЛЕРДЕРМ СПОТ-ОН;Не требуется;26;9000;2013-12-28
40;АЛЬБАЗЕН;Требуется;8;3200;2019-05-21
41;АЛЬБАЗЕН 10 %;Требуется;24;1200;2012-12-29
42;АЛЬБАЗЕН 20 %;Требуется;6;1650;2015-05-21
43;АЛЬБАМЕЛИН;Не требуется;5;6800;2014-04-16
44;АЛЬБЕН;Требуется;21;8800;2021-03-21
45;АЛЬБЕН ГРАНУЛЫ;Не требуется;10;1900;2020-04-23
46;АЛЬБЕН С;Требуется;7;2750;2019-05-12
