1,АВАТЕК 15 % СС,Требуется,26,3650,2011-11-15
2,АВЕРОФАРМ,Требуется,18,2150,2020-01-21
3,АВЕРСЕКТ - 2,Требуется,18,9400,2021-02-07
4,АВЕРСЕКТ К&C,Не требуется,24,4100,2015-11-23
5,АВЕРСЕКТ-2 ВК,Не требуется,5,4800,2012-04-09
6,АВЕРТЕЛЬ,Не требуется,15,3900,2020-01-01
7,АВИЗИМ 1100,Требуется,6,5400,2018-02-24
8,АВИЗИМ 1200,Не требуется,20,9600,2010-11-16
9,АВИЗИМ 1300,Требуется,25,4100,2011-04-21
10,АВИЗИМ 1500,Требуется,22,5150,2016-03-13
11,АВИМУТИН ГИДРО,Требуется,5,2450,2016-03-07
12,АГИТА 10 WG,Требуется,7,6150,2011-09-06
13,АГИФЛАЙ,Не требуется,26,6750,2021-03-25
14,АДВАНТЕЙДЖ 40,Не требуется,6,1850,2019-05-29
15,АДВАНТЕЙДЖ 80,Не требуется,30,8600,2013-10-05
16,АДВАНТИКС,Не требуется,29,6650,2014-01-16
17,АДВОКАТ,Требуется,14,6200,2010-01-23
18,АЗИКАН,Требуется,30,2450,2018-01-30
19,АЗИНОКС,Не требуется,27,2100,2018-07-29
20,АЗИНОКС ПЛЮС,Требуется,22,6450,2021-02-16
21,АЗИПИРИН,Требуется,6,1150,2016-01-12
22,АЗИТРОНИТ,Не требуется,22,4650,2021-01-11
23,АЗОКСИВЕТ,Требуется,5,9000,2019-04-13
24,АЙНИЛ 1%,Не требуется,18,9550,2020-10-31
25,АЙНИЛ 10 %,Требуется,30,8050,2011-04-03
26,АЙРОНБУСТЕР,Требуется,20,9850,2013-11-03
27,АЙСИДИВИТ,Требуется,27,5150,2010-01-20
28,АКАРАСАН,Не требуется,25,6400,2021-07-10
29,АКАРОМЕКТИН,Не требуется,13,4100,2015-01-20
30,АКВАРЭТ-КОНЦЕНТРАТ,Требуется,23,6450,2020-01-12
31,АКВАРЭТ-ПРИМАНКА,Требуется,27,8550,2015-11-30
32,АКВИМАГ,Требуется,5,7450,2013-12-29
33,АКРОЗОЛЬ,Требуется,8,4450,2020-10-22
34,АЛАМИЦИН LA 300,Требуется,23,8500,2015-02-20
35,АЛАМИЦИН АЭРОЗОЛЬ,Не требуется,20,1950,2012-08-25
36,АЛЗАН,Не требуется,5,1150,2011-09-12
37,АЛИЗИН,Требуется,12,8550,2011-06-14
